
                                      ARENA Simulation Results
                                   João Viktor - License: STUDENT

                                  Sumário para Replicação 1 de 1

Projeto: Unnamed Project                                             Data da execução :12/ 2/2020
Analista: João Viktor                                                 Data de revisão do modelo:12/ 2/2020

Replicação terminada no tempo de      : 480.0 Minutos (Monday, November 23, 2020, 12:29:59)
Unidade de Tempo Base: Minutos

                                           VARIÁVEIS DE REGISTRO

Identificador                                  Média   Meia Largura  Mínimo    Máximo   Observações
___________________________________________________________________________________________________

PecasA.VATime                               37.920     (Insuf)    36.494     39.775        140    
PecasA.NVATime                              .00000     (Insuf)    .00000     .00000        140    
PecasA.WaitTime                             29.417     (Insuf)    3.1749     58.452        140    
PecasA.TranTime                             2.5000     (Insuf)    2.5000     2.5000        140    
PecasA.OtherTime                            10.000     (Insuf)    10.000     10.000        140    
PecasA.TotalTime                            79.838     (Insuf)    52.216     109.17        140    
PecasB.VATime                               42.894     (Insuf)    41.999     44.273         10    
PecasB.NVATime                              .00000     (Insuf)    .00000     .00000         10    
PecasB.WaitTime                             22.950     (Insuf)    .00000     50.285         10    
PecasB.TranTime                             2.5000     (Insuf)    2.5000     2.5000         10    
PecasB.OtherTime                            10.000     (Insuf)    10.000     10.000         10    
PecasB.TotalTime                            78.345     (Insuf)    55.253     106.49         10    
Process 7.2.Queue.WaitingTime               6.6823     (Insuf)    .00000     31.132         45    
Process 8.4.Queue.WaitingTime               3.8800     (Insuf)    .00000     15.268         36    
Process 6.2.Queue.WaitingTime               .95952     (Insuf)    .00000     5.7491         76    
Process 5.2.Queue.WaitingTime               .97746     (Insuf)    .00000     5.3300         61    
Process 8.Queue.WaitingTime                 3.6437     (Insuf)    .00000     13.623         41    
Process 5.Queue.WaitingTime                 1.8210     (Insuf)    .00000     6.8095         89    
Process 7.4.Queue.WaitingTime               2.4213     (Insuf)    .00000     11.184         33    
Process 9.Queue.WaitingTime                 2.8410     (Insuf)    .00000     11.606        150    
Process 3.2.Queue.WaitingTime               2.5060     (Insuf)    .00000     9.9651         81    
Process 8.3.Queue.WaitingTime               2.4612     (Insuf)    .00000     9.1115         40    
Process 4.Queue.WaitingTime                 5.7308     (Insuf)    .00000     21.988         72    
Process 2.Queue.WaitingTime                 1.9334     (Insuf)    .00000     3.4075        150    
Process 7.Queue.WaitingTime                 2.0845     (Insuf)    .00000     13.421         30    
Process 7.3.Queue.WaitingTime               3.5288     (Insuf)    .00000     12.887         42    
Process 6.Queue.WaitingTime                 1.6188     (Insuf)    .00000     10.019         74    
Process 11.Queue.WaitingTime                .00000     (Insuf)    .00000     .00000         10    
Process 10.Queue.WaitingTime                .47736     (Insuf)    .00000     4.2657        140    
Process 4.2.Queue.WaitingTime               15.016     (Insuf)    .00000     29.433         78    
Process 1.Queue.WaitingTime                 1.1182     (Insuf)    .00000     2.8404        150    
Process 3.Queue.WaitingTime                 1.9117     (Insuf)    .00000     9.6175         69    
Process 8.2.Queue.WaitingTime               2.5812     (Insuf)    .00000     12.106         33    

                                     VARIÁVEIS DISCRETAS

Identificador                                 Média   Meia Largura  Mínimo    Máximo   Valor Final
___________________________________________________________________________________________________

PecasA.WIP                                  23.286     (Insuf)    .00000     34.000     .00000    
